leg_id,ticket_id,game_id,kickoff_at,away_team,home_team,market,side,line_at_take,price_at_take,american_price_at_take,decimal_price_at_take,closing_data_available,closing_line,closing_price_american,closing_price_decimal,clv_no_vig,result,notes
454445a8-5d02-48d5-9b25-5d1d5057e29e,4500ac74-fb0b-4e7a-8878-c7c725c0524c,2026_02_DET_BUF,2026-09-17T20:15:00-04:00,DET,BUF,spread,BUF,-5.5,,,,true,,,,,win,"RECONSTRUCTED (chat backfill 2026-09-17T21:25, not at-placement). DK My Activity slip 2026-09-19: game_id=2026_02_DET_BUF; DET@BUF; kickoff 2026-09-17T20:15:00-04:00 (TNF / nflverse). VERIFY(2026-09-19): price_at_take / american_price_at_take (not on slip; do not invent)."
ce43d525-abc6-47de-a837-14a0dbde4bca,4500ac74-fb0b-4e7a-8878-c7c725c0524c,2026_02_DET_BUF,2026-09-17T20:15:00-04:00,DET,BUF,total,over,54.5,,,,true,,,,,win,"RECONSTRUCTED (chat backfill 2026-09-17T21:25, not at-placement). DK My Activity slip 2026-09-19: game_id=2026_02_DET_BUF; Over 54.5 DET@BUF. HR later showed 55 — take was 54.5. VERIFY(2026-09-19): price_at_take / american_price_at_take (not on slip; do not invent)."
1546687c-ad6f-4978-a8a4-3c8ac05e7b63,bd4ecb98-a74b-4248-8575-da3fe5a16833,2026_02_SEA_ARI,2026-09-20T16:25:00-04:00,SEA,ARI,spread,ARI,3.5,,+100,,true,,,,,loss,"RECONSTRUCTED (chat backfill 2026-09-17T21:25, not at-placement). DK My Activity slip 2026-09-19: ARI +3.5 SEA@ARI; game_id=2026_02_SEA_ARI; kickoff 2026-09-20T16:25:00-04:00 from nflverse (slip display Sun 1:25 PM). american_price_at_take=+100 from placement handoff (not on slip)."
1dc07ebf-74e5-4b0b-b965-8fcc5fea900a,bd4ecb98-a74b-4248-8575-da3fe5a16833,2026_02_IND_KC,2026-09-20T20:20:00-04:00,IND,KC,spread,IND,6.5,,+100,,true,,,,,pending,"RECONSTRUCTED (chat backfill 2026-09-17T21:25, not at-placement). DK My Activity slip 2026-09-19: IND +6.5 IND@KC; game_id=2026_02_IND_KC; kickoff 2026-09-20T20:20:00-04:00 from nflverse (slip display Sun 5:20 PM). american_price_at_take=+100 from placement handoff (not on slip). IND +6.5 N/A/pending per NFL Manager (do not invent win/loss)."
74dc8409-53c9-4a18-873d-cd97a88e1253,bd4ecb98-a74b-4248-8575-da3fe5a16833,2026_02_CIN_HOU,2026-09-20T13:00:00-04:00,CIN,HOU,spread,CIN,2.5,,-102,,true,,,,,win,"RECONSTRUCTED (chat backfill 2026-09-17T21:25, not at-placement). DK My Activity slip 2026-09-19: CIN +2.5 CIN@HOU; game_id=2026_02_CIN_HOU; kickoff 2026-09-20T13:00:00-04:00 from nflverse (slip display Sun 10:00 AM). american_price_at_take=-102 from placement handoff (not on slip)."
241f5d70-ddfe-4295-90b6-feb8c81a09ff,f0840775-f0c5-43ec-8ef8-44f75fef8a16,2026_02_NO_BAL,2026-09-20T13:00:00-04:00,NO,BAL,anytime_td,Henry,,,,,false,,,,,win,"RECONSTRUCTED (chat backfill 2026-09-17T21:25, not at-placement). DK My Activity slip 2026-09-19: Derrick Henry anytime_td NO@BAL; game_id=2026_02_NO_BAL; kickoff 2026-09-20T13:00:00-04:00 from nflverse (slip display Sun 10:00 AM). closing_data_available=false forever. VERIFY(2026-09-19): price_at_take / american_price_at_take (not on Trade card; do not use later live board)."
00218821-3cc2-4457-905a-0d2b815be7df,f0840775-f0c5-43ec-8ef8-44f75fef8a16,2026_02_MIA_SF,2026-09-20T16:25:00-04:00,MIA,SF,anytime_td,CMC,,,,,false,,,,,pending,"RECONSTRUCTED (chat backfill 2026-09-17T21:25, not at-placement). DK My Activity slip 2026-09-19: Christian McCaffrey anytime_td MIA@SF; game_id=2026_02_MIA_SF; kickoff 2026-09-20T16:25:00-04:00 from nflverse (slip display Sun 1:25 PM). closing_data_available=false forever. VERIFY(2026-09-19): price_at_take / american_price_at_take (not on Trade card; do not use later live board). CMC N/A per Manager."
45636e3f-9d1e-4da4-968b-7eb7b38ab18a,f0840775-f0c5-43ec-8ef8-44f75fef8a16,2026_02_CAR_ATL,2026-09-20T13:00:00-04:00,CAR,ATL,anytime_td,Bijan,,,,,false,,,,,loss,"RECONSTRUCTED (chat backfill 2026-09-17T21:25, not at-placement). DK My Activity slip 2026-09-19: Bijan Robinson anytime_td CAR@ATL; game_id=2026_02_CAR_ATL; kickoff 2026-09-20T13:00:00-04:00 from nflverse (slip display Sun 10:00 AM). closing_data_available=false forever. VERIFY(2026-09-19): price_at_take / american_price_at_take (not on Trade card; do not use later live board)."
faa24836-a57e-4c78-8af9-d2ec619bffe3,d77a4290-2dcd-43a5-8cf6-54b85113181c,2026_02_CLE_TB,2026-09-20T13:00:00-04:00,CLE,TB,spread,TB,-7.5,,+85,,true,,,,,pending,CLE@TB Week 2 TB -7.5. game_id=2026_02_CLE_TB; kickoff 2026-09-20T13:00:00-04:00 (1:00 p.m. ET CBS / nflverse). VERIFY(2026-09-20): american_price_at_take=+85 derived from ticket 49.68->92; confirm exact slip juice.
f9db77ba-a5d2-49df-90aa-5d67b42c17c2,d43fd275-2d99-40b1-a32c-03b77ceebae0,2026_02_NYG_LAR,2026-09-21T20:15:00-04:00,NYG,LAR,spread,LAR,-6.5,,-115,1.8696,true,,,,,win,"NYG@LAR Week 2 MNF LAR -6.5. game_id=2026_02_NYG_LAR; away=NYG home=LAR; kickoff 2026-09-21T20:15:00-04:00 (8:15 p.m. ET). closing_data_available=true; closing columns blank (Tuesday close_lines.py only). result=pending. american_price_at_take=-115 from earlier DK lock (C1 S1 2026-09-21 ~12:03 ET, LAR -6.5 -115); decimal_price_at_take=1.8696 from -115. Not this SGP slip's leg juice. VERIFY(2026-09-21): confirm slip leg juice; Trade card does not show it. Do not treat -115 as slip-confirmed."
